#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-01T22:04:51 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ524b46cf1f93	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/65&tab:{VIII/65/nvss}&key:source=nvss&HTTPPRM:&&-ref=VIZ524b46cf1f93&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/65/nvss
#-order=I
#-out=NVSS
#-out=RAJ2000
#-out=DEJ2000
#-out=e_RAJ2000
#-out=e_DEJ2000
#-out=S1.4
#-sort=S1.4
#S1.4=> 1000
#-out=e_S1.4
#-out=polFlux
#-out=polPA
#-out=e_polFlux
#-out=e_polPA
#Image=Image
#

#RESOURCE=yCat_8065
#Name: VIII/65
#Title: 1.4GHz NRAO VLA Sky Survey (NVSS) (Condon+ 1998)
#Table	VIII_65_nvss:
#Name: VIII/65/nvss
#Title: The NVSS Catalog
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	NVSS	(a14)	Source name (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(F5.2)	Mean error on RA	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(F4.1)	Mean error on Dec	[ucd=stat.error;pos.eq.dec]
#Column	S1.4	(F8.1)	Integrated 1.4GHz flux density of radio source	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F7.1)	Mean error on S1.4	[ucd=stat.error]
#Column	polFlux	(F6.2)	? Integrated linearly polarized flux density	[ucd=phot.flux.density]
#Column	polPA	(F5.1)	[-90,90]? The position angle of polFlux (4)	[ucd=pos.posAng;phys.polarization]
#Column	e_polFlux	(F5.2)	? Mean error on polFlux	[ucd=stat.error]
#Column	e_polPA	(F4.1)	? Mean error on polPA	[ucd=stat.error]
_RAJ2000|_DEJ2000|NVSS|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|S1.4|e_S1.4|polFlux|polPA|e_polFlux|e_polPA
304.98108|+66.21217|201955+661243 |20 19 55.46|+66 12 43.8| 0.07| 0.6|  1037.3|   36.3|  8.80| -0.5| 0.48| 1.0
296.55654|-31.61447|194613-313652 |19 46 13.57|-31 36 52.1| 0.04| 0.6|  1037.4|   31.1|  0.42|-79.9| 0.57|25.7
143.76692| +8.69369|093504+084137 |09 35 04.06|+08 41 37.3| 0.03| 0.6|  1037.6|   31.1| 15.90|-44.3| 0.41| 0.5
245.08250|-11.22564|162019-111332 |16 20 19.80|-11 13 32.3| 0.03| 0.6|  1037.8|   35.9| 10.95|-51.1| 0.57| 0.9
206.26621|-31.67086|134503-314015 |13 45 03.89|-31 40 15.1| 0.04| 0.6|  1039.2|   32.6|118.27|  4.9| 1.35| 0.1
103.20212|+22.53961|065248+223222 |06 52 48.51|+22 32 22.6| 0.03| 0.6|  1039.5|   35.8| 15.72|-29.6| 0.55| 0.6
046.47483|+62.95628|030553+625722 |03 05 53.96|+62 57 22.6| 0.07| 0.6|  1039.8|   38.2| 67.76|-37.6| 0.86| 0.2
056.78617|-11.12031|034708-110713 |03 47 08.68|-11 07 13.1| 0.03| 0.6|  1040.1|   31.2| 10.71| 48.9| 0.42| 0.8
225.89462| -2.50839|150334-023030 |15 03 34.71|-02 30 30.2| 0.03| 0.6|  1040.3|   31.2|  5.16|-81.4| 0.48| 1.8
231.30154|-19.04808|152512-190253 |15 25 12.37|-19 02 53.1| 0.03| 0.6|  1040.9|   31.2|  1.22| -3.3| 0.52| 8.1
091.60821|+64.74475|060625+644441 |06 06 25.97|+64 44 41.1| 0.07| 0.6|  1041.0|   36.2| 19.92| -8.7| 0.50| 0.5
092.70396|+72.81472|061048+724853 |06 10 48.95|+72 48 53.0| 0.10| 0.6|  1041.0|   31.2|  8.84|-47.6| 0.44| 1.0
028.07512|+22.11878|015218+220707 |01 52 18.03|+22 07 07.6| 0.03| 0.6|  1041.1|   31.2|  1.78|-43.8| 0.42| 4.5
275.32108|-16.43778|182117-162616 |18 21 17.06|-16 26 16.0| 0.03| 0.6|  1041.2|   32.0| 18.34| 73.8|15.92| 3.1
065.52108|+76.45247|042205+762708 |04 22 05.06|+76 27 08.9| 0.13| 0.6|  1041.6|   34.1| 39.46|-23.9| 0.77| 0.3
083.60721|+27.53997|053425+273223 |05 34 25.73|+27 32 23.9| 0.03| 0.6|  1042.0|   36.8|  1.04|-32.2| 0.61|11.1
302.10242| -4.30803|200824-041828 |20 08 24.58|-04 18 28.9| 0.03| 0.6|  1042.3|   36.5|      |     |     |
084.46829|+36.18692|053752+361112 |05 37 52.39|+36 11 12.9| 0.04| 0.6|  1042.3|   36.7|  5.81|-10.6| 0.51| 1.7
102.29646|+61.64992|064911+613859 |06 49 11.15|+61 38 59.7| 0.06| 0.6|  1043.3|   36.6| 58.09| 67.7| 0.44| 0.1
037.54492|+81.69161|023010+814129 |02 30 10.78|+81 41 29.8| 0.21| 0.6|  1043.4|   31.3|  0.61|-79.5| 0.42|13.4
096.61396|-16.67647|062627-164035 |06 26 27.35|-16 40 35.3| 0.03| 0.6|  1043.5|   36.8| 59.98| 44.2| 0.48| 0.1
117.55129|+31.32981|075012+311947 |07 50 12.31|+31 19 47.3| 0.04| 0.6|  1043.7|   31.3|  1.74|-47.7| 0.44| 4.8
257.83300|+30.32172|171119+301918 |17 11 19.92|+30 19 18.2| 0.03| 0.6|  1043.9|   31.3|  0.35|-29.4| 0.42|22.9
104.72592|-24.28739|065854-241714 |06 58 54.22|-24 17 14.6| 0.03| 0.6|  1044.2|   35.3| 22.93| 83.2| 0.65| 0.5
291.32200|+13.98875|192517+135919 |19 25 17.28|+13 59 19.5| 0.03| 0.6|  1044.3|   35.3| 12.40|-16.1| 0.82| 1.1
080.45646| -6.21428|052149-061251 |05 21 49.55|-06 12 51.4| 0.03| 0.6|  1044.3|   31.3| 27.29| 89.3| 0.51| 0.4
309.16958| -6.48428|203640-062903 |20 36 40.70|-06 29 03.4| 0.03| 0.6|  1044.6|   31.3|  2.60| 17.1| 0.50| 3.7
213.52358|-24.09392|141405-240538 |14 14 05.66|-24 05 38.1| 0.03| 0.6|  1044.8|   36.6|  8.56| 47.1| 0.49| 1.1
086.57367|-17.43117|054617-172552 |05 46 17.68|-17 25 52.2| 0.03| 0.6|  1045.4|   36.9|  5.44|-21.4| 0.47| 1.6
102.11883|-17.73472|064828-174405 |06 48 28.52|-17 44 05.0| 0.03| 0.6|  1045.7|   31.4| 41.57| 83.6| 0.45| 0.2
117.87637|-38.87222|075130-385220 |07 51 30.33|-38 52 20.0| 0.04| 0.6|  1045.7|   33.7| 10.94| 62.5| 0.93| 1.2
068.80225| +4.56600|043512+043357 |04 35 12.54|+04 33 57.6| 0.03| 0.6|  1046.2|   31.4|  0.88| 19.5| 0.47|10.4
324.30637|-27.91583|213713-275457 |21 37 13.53|-27 54 57.0| 0.03| 0.6|  1046.8|   38.2| 57.74|-10.4| 0.79| 0.2
115.35725|+27.11247|074125+270644 |07 41 25.74|+27 06 44.9| 0.03| 0.6|  1046.9|   31.4|  1.88|-78.9| 0.42| 4.4
184.74675|+19.92469|121859+195528 |12 18 59.22|+19 55 28.9| 0.03| 0.6|  1047.0|   32.3| 25.66| 69.9| 1.54| 0.6
112.77775|-23.69681|073106-234148 |07 31 06.66|-23 41 48.5| 0.03| 0.6|  1047.1|   31.4| 15.04| 52.7| 0.50| 0.6
139.23367|-31.61067|091656-313638 |09 16 56.08|-31 36 38.4| 0.04| 0.6|  1047.3|   31.4|  4.04|-61.8| 0.50| 2.3
267.56946| -8.69875|175016-084155 |17 50 16.67|-08 41 55.5| 0.03| 0.6|  1047.4|   31.4|  3.69|-32.3| 0.67| 3.5
151.28433|-21.87336|100508-215224 |10 05 08.24|-21 52 24.1| 0.03| 0.6|  1047.5|   31.4|  1.39| 31.0| 0.45| 6.4
262.87079|-33.56433|173128-333351 |17 31 28.99|-33 33 51.6| 0.04| 0.6|  1048.9|   33.7|  5.43| 88.8| 3.41| 5.0
117.45042|+55.90583|074948+555421 |07 49 48.10|+55 54 21.0| 0.05| 0.6|  1049.0|   36.5|210.49| 74.6| 0.50| 0.0
320.72033|-10.05453|212252-100316 |21 22 52.88|-10 03 16.3| 0.03| 0.6|  1049.1|   31.5|  1.70|-78.1| 0.42| 4.8
076.90200| +3.13117|050736+030752 |05 07 36.48|+03 07 52.2| 0.03| 0.6|  1049.1|   31.5| 33.79|-51.3| 0.47| 0.3
270.21137|+48.54322|180050+483235 |18 00 50.73|+48 32 35.6| 0.05| 0.6|  1050.1|   37.1| 28.07| 58.9| 0.42| 0.3
206.40583| -0.95192|134537-005706 |13 45 37.40|-00 57 06.9| 0.03| 0.6|  1050.6|   37.1| 31.49| 31.8| 0.51| 0.3
059.13942|+19.00961|035633+190034 |03 56 33.46|+19 00 34.6| 0.03| 0.6|  1051.3|   31.5| 13.11|-78.3| 0.43| 0.6
129.87825|+50.40497|083930+502417 |08 39 30.78|+50 24 17.9| 0.05| 0.6|  1051.6|   31.5|  7.44| 32.5| 0.44| 1.1
267.04196| +9.46089|174810+092739 |17 48 10.07|+09 27 39.2| 0.03| 0.6|  1052.1|   37.1|  1.97|-63.3| 0.67| 6.4
193.67042|-29.22875|125440-291343 |12 54 40.90|-29 13 43.5| 0.03| 0.6|  1052.7|   40.2|  1.25| -6.4| 0.61| 8.2
026.04854|+34.19928|014411+341157 |01 44 11.65|+34 11 57.4| 0.04| 0.6|  1054.1|   31.6| 11.58|-34.1| 0.42| 0.7
145.34842|+39.73725|094123+394414 |09 41 23.62|+39 44 14.1| 0.04| 0.6|  1054.3|   39.4| 56.82|  5.5| 0.65| 0.2
266.80900|-28.44914|174714-282656 |17 47 14.16|-28 26 56.9| 0.03| 0.6|  1054.6|   35.0|  7.07| 53.2| 2.47| 3.2
299.75375|+40.48339|195900+402900 |19 59 00.90|+40 29 00.2| 0.05| 0.7|  1054.6|   32.4| 93.47|-77.1|35.90| 1.2
279.51954| -6.42331|183804-062523 |18 38 04.69|-06 25 23.9| 0.03| 0.6|  1054.8|   33.2|  3.50| 42.7| 5.08| 9.3
083.67725|+69.00142|053442+690005 |05 34 42.54|+69 00 05.1| 0.08| 0.6|  1054.8|   34.4|  7.24|-38.5| 0.75| 1.6
333.95821|+56.98222|221549+565856 |22 15 49.97|+56 58 56.0| 0.06| 0.6|  1055.1|   33.9| 24.53| 30.0| 1.08| 0.6
233.31037|+15.27839|153314+151642 |15 33 14.49|+15 16 42.2| 0.03| 0.6|  1055.3|   37.3| 35.58| 48.7| 0.48| 0.3
065.21725| -5.62228|042052-053720 |04 20 52.14|-05 37 20.2| 0.03| 0.6|  1056.7|   35.6| 63.82|-63.4| 0.60| 0.2
248.48687|+74.09669|163356+740548 |16 33 56.85|+74 05 48.1| 0.11| 0.6|  1056.8|   31.7| 14.97|-81.2| 0.47| 0.6
095.47042| +4.64292|062152+043834 |06 21 52.90|+04 38 34.5| 0.03| 0.6|  1056.8|   33.2| 50.89|-59.5| 1.30| 0.3
223.59762|-19.41817|145423-192505 |14 54 23.43|-19 25 05.4| 0.03| 0.6|  1057.1|   35.2| 51.12|-60.8| 0.73| 0.2
140.92792| -9.58975|092342-093523 |09 23 42.70|-09 35 23.1| 0.03| 0.6|  1057.2|   37.3|  9.92| 12.8| 0.49| 0.9
077.37296|+29.96550|050929+295755 |05 09 29.51|+29 57 55.8| 0.03| 0.6|  1057.7|   34.8| 29.96| 58.7| 0.80| 0.4
226.22983|+26.04722|150455+260250 |15 04 55.16|+26 02 50.0| 0.03| 0.6|  1058.0|   33.4| 32.33| 39.2| 3.70| 0.8
358.22775| +6.00917|235254+060033 |23 52 54.66|+06 00 33.0| 0.03| 0.6|  1058.2|   31.7| 14.88|  3.4| 0.46| 0.6
294.88792|+63.75789|193933+634528 |19 39 33.10|+63 45 28.4| 0.07| 0.6|  1058.5|   31.8| 59.33|-45.3| 0.43| 0.1
220.51654|-26.61206|144203-263643 |14 42 03.97|-26 36 43.4| 0.03| 0.6|  1058.7|   35.1|143.56|-45.4| 0.72| 0.1
301.38037|+77.87886|200531+775243 |20 05 31.29|+77 52 43.9| 0.14| 0.6|  1059.6|   37.4| 15.43|-10.9| 0.50| 0.6
321.14467|+52.12086|212434+520715 |21 24 34.72|+52 07 15.1| 0.05| 0.6|  1059.6|   31.8|  3.30| 23.3| 0.58| 3.3
310.66404|-28.92703|204239-285537 |20 42 39.37|-28 55 37.3| 0.03| 0.6|  1059.7|   37.5|  2.20| 85.5| 0.48| 4.2
174.37367| +1.27036|113729+011613 |11 37 29.68|+01 16 13.3| 0.03| 0.6|  1059.7|   37.3|  2.50| 70.2| 0.50| 3.8
202.90379|+50.13169|133136+500754 |13 31 36.91|+50 07 54.1| 0.05| 0.6|  1059.7|   34.3| 94.17| 10.0| 0.71| 0.1
323.82029|-17.57442|213516-173427 |21 35 16.87|-17 34 27.9| 0.03| 0.6|  1060.0|   36.5|103.28|-24.7| 0.54| 0.1
230.98721|+10.92892|152356+105544 |15 23 56.93|+10 55 44.1| 0.03| 0.6|  1060.2|   37.2| 17.28|-17.9| 0.52| 0.5
083.71175|+10.07508|053450+100430 |05 34 50.82|+10 04 30.3| 0.03| 0.6|  1060.4|   37.5|  5.61|-45.8| 0.55| 1.9
258.70862|-38.55211|171450-383307 |17 14 50.07|-38 33 07.6| 0.04| 0.6|  1060.5|   32.2|  2.13| 17.4| 4.24|13.5
349.97304|-36.94106|231953-365627 |23 19 53.53|-36 56 27.8| 0.04| 0.6|  1060.8|   31.8| 30.20| 48.4| 0.47| 0.3
095.71100|+22.00711|062250+220025 |06 22 50.64|+22 00 25.6| 0.03| 0.6|  1060.9|   36.3| 28.67| 37.8| 0.64| 0.4
317.33821|+29.07042|210921+290413 |21 09 21.17|+29 04 13.5| 0.03| 0.6|  1061.5|   37.4| 18.47|-46.2| 0.49| 0.5
249.43887|+47.29478|163745+471741 |16 37 45.33|+47 17 41.2| 0.04| 0.6|  1061.6|   36.7| 17.95| 86.6| 0.45| 0.5
096.76200|-35.48669|062702-352912 |06 27 02.88|-35 29 12.1| 0.04| 0.6|  1062.1|   34.5| 11.63| -8.5| 2.22| 1.7
123.22142|+40.31667|081253+401900 |08 12 53.14|+40 19 00.0| 0.04| 0.6|  1062.1|   31.9|  1.31| 87.5| 0.42| 6.3
146.30754|+16.92269|094513+165521 |09 45 13.81|+16 55 21.7| 0.03| 0.6|  1062.1|   36.2| 49.22|  9.0| 0.53| 0.2
266.39679|+17.33386|174535+172001 |17 45 35.23|+17 20 01.9| 0.03| 0.6|  1062.4|   31.9| 21.08| 51.7| 0.44| 0.4
351.42329|+59.52053|232541+593113 |23 25 41.59|+59 31 13.9| 0.08| 0.7|  1062.4|   32.6|337.61| 89.7|51.87| 0.3
190.10750|-17.28947|124025-171722 |12 40 25.80|-17 17 22.1| 0.03| 0.6|  1062.4|   31.9|  0.77| 21.9| 0.43|10.8
216.07504|-38.45314|142418-382711 |14 24 18.01|-38 27 11.3| 0.04| 0.6|  1063.5|   36.6|  4.55| 79.9| 0.64| 2.4
185.11700| +9.47414|122028+092826 |12 20 28.08|+09 28 26.9| 0.03| 0.6|  1064.4|   37.3| 26.36| 59.0| 0.48| 0.3
331.58675| +5.93661|220620+055611 |22 06 20.82|+05 56 11.8| 0.03| 0.6|  1064.7|   31.9|  1.76|-68.0| 0.46| 5.0
042.76225| +6.20311|025102+061211 |02 51 02.94|+06 12 11.2| 0.03| 0.6|  1064.7|   34.3| 96.85|  3.6| 0.88| 0.1
036.36367|+62.06147|022527+620341 |02 25 27.28|+62 03 41.3| 0.06| 0.6|  1064.9|   38.1|  3.32| 45.9| 1.00| 4.2
042.54387|+39.57769|025010+393439 |02 50 10.53|+39 34 39.7| 0.04| 0.6|  1064.9|   37.8| 58.70|-76.8| 0.90| 0.2
020.48700| +4.37333|012156+042224 |01 21 56.88|+04 22 24.0| 0.03| 0.6|  1065.6|   32.0|  2.76| 39.1| 0.45| 3.1
166.63237| -0.88097|110631-005251 |11 06 31.77|-00 52 51.5| 0.03| 0.6|  1065.6|   37.1| 16.83| 45.3| 0.51| 0.6
223.42675|+69.45944|145342+692734 |14 53 42.42|+69 27 34.0| 0.09| 0.6|  1066.3|   33.9| 11.47|-15.6| 0.96| 1.1
111.32000|+14.42042|072516+142513 |07 25 16.80|+14 25 13.5| 0.03| 0.6|  1066.7|   32.0| 75.91|-40.5| 0.42| 0.1
227.60025|+70.75908|151024+704532 |15 10 24.06|+70 45 32.7| 0.09| 0.6|  1066.8|   33.9| 27.18|-46.1| 3.13| 0.8
223.75558| -4.36178|145501-042142 |14 55 01.34|-04 21 42.4| 0.03| 0.6|  1067.0|   37.4|100.42| 60.9| 0.53| 0.1
250.88912|-23.26861|164333-231607 |16 43 33.39|-23 16 07.0| 0.03| 0.6|  1067.4|   32.0|  7.24| 51.9| 0.59| 1.6
039.62858|+10.16883|023830+101007 |02 38 30.86|+10 10 07.8| 0.03| 0.6|  1067.7|   32.0| 28.25|-86.9| 0.45| 0.3
293.25950|+13.22647|193302+131335 |19 33 02.28|+13 13 35.3| 0.03| 0.6|  1068.5|   36.8| 31.80|-77.5| 1.73| 0.6
025.51100|+58.31422|014202+581851 |01 42 02.64|+58 18 51.2| 0.06| 0.6|  1068.5|   34.9| 34.17| 28.2| 0.86| 0.4
162.88521| -9.30889|105132-091832 |10 51 32.45|-09 18 32.0| 0.03| 0.6|  1069.0|   37.4| 39.82| 52.9| 0.52| 0.2
305.98275|+54.46006|202355+542736 |20 23 55.86|+54 27 36.2| 0.05| 0.6|  1069.1|   32.1|  2.46| 10.4| 0.44| 3.6
211.41892|-36.92558|140540-365532 |14 05 40.54|-36 55 32.1| 0.04| 0.6|  1069.1|   32.1|  9.66|-77.6| 0.50| 1.0
001.23800|+12.80525|000457+124818 |00 04 57.12|+12 48 18.9| 0.03| 0.6|  1069.5|   35.1|203.94|-21.7| 2.29| 0.1
223.78912|-36.92206|145509-365519 |14 55 09.39|-36 55 19.4| 0.04| 0.6|  1070.3|   34.4| 39.06| 44.6| 3.47| 0.7
112.13700|+12.16958|072832+121010 |07 28 32.88|+12 10 10.5| 0.03| 0.6|  1070.4|   37.6| 30.68| 76.2| 0.47| 0.3
140.04650|+17.89028|092011+175325 |09 20 11.16|+17 53 25.0| 0.03| 0.6|  1070.6|   32.1|  0.43| 45.3| 0.40|18.1
259.03575|+68.93406|171608+685602 |17 16 08.58|+68 56 02.6| 0.08| 0.6|  1071.1|   33.3| 15.61|-28.0| 1.37| 0.9
308.10750|+43.69031|203225+434125 |20 32 25.80|+43 41 25.1| 0.05| 0.6|  1071.8|   32.8| -0.42|     |22.54|
161.64579|+15.72978|104634+154347 |10 46 34.99|+15 43 47.2| 0.03| 0.6|  1071.9|   32.2| 12.31| 15.7| 0.42| 0.7
094.65712|+78.35664|061837+782123 |06 18 37.71|+78 21 23.9| 0.15| 0.6|  1073.6|   39.9|  0.85|-17.6| 0.64|11.8
308.84300|+10.93531|203522+105607 |20 35 22.32|+10 56 07.1| 0.03| 0.6|  1074.1|   32.2|  2.70| 87.1| 0.45| 3.2
096.79404|-35.48461|062710-352904 |06 27 10.57|-35 29 04.6| 0.04| 0.6|  1074.2|   34.5| 57.17|-83.5| 2.60| 0.4
213.50037| +9.25133|141400+091504 |14 14 00.09|+09 15 04.8| 0.03| 0.6|  1074.4|   35.9| 92.31| 77.3| 0.67| 0.1
309.90037|+41.32786|203936+411940 |20 39 36.09|+41 19 40.3| 0.05| 0.6|  1074.5|   33.1|  7.87|-82.0|14.47| 6.9
223.51042|-34.01558|145402-340056 |14 54 02.50|-34 00 56.1| 0.04| 0.6|  1074.7|   32.2| -0.26|     | 0.52|
061.79646| +3.72853|040711+034342 |04 07 11.15|+03 43 42.7| 0.03| 0.6|  1074.7|   33.9| 87.43| 51.0| 5.82| 0.4
280.70758| -7.93447|184249-075604 |18 42 49.82|-07 56 04.1| 0.03| 0.6|  1074.8|   38.0|  6.66|-77.4| 0.59| 1.7
126.30933|-28.78486|082514-284705 |08 25 14.24|-28 47 05.5| 0.03| 0.6|  1075.0|   37.9| 18.64|-25.8| 0.51| 0.5
350.55946|+58.52750|232214+583139 |23 22 14.27|+58 31 39.0| 0.06| 0.6|  1075.1|   34.4| 53.13| -5.3| 4.52| 0.7
055.14842|-21.32547|034035-211931 |03 40 35.62|-21 19 31.7| 0.03| 0.6|  1075.2|   38.0| 27.25| 88.8| 0.46| 0.3
252.13237| +2.71286|164831+024246 |16 48 31.77|+02 42 46.3| 0.03| 0.6|  1075.7|   33.4|100.88|-47.9| 1.74| 0.2
018.82125| -1.45164|011517-012705 |01 15 17.10|-01 27 05.9| 0.03| 0.6|  1076.2|   32.3| 10.90|-86.0| 0.47| 0.8
073.23321|+52.09308|045255+520535 |04 52 55.97|+52 05 35.1| 0.05| 0.6|  1076.3|   36.5|  1.17|-23.8| 1.47|13.5
080.88813|-32.85633|052333-325122 |05 23 33.15|-32 51 22.8| 0.04| 0.6|  1077.1|   34.3| 24.02|-84.5| 1.08| 0.6
157.54129| +0.62783|103009+003740 |10 30 09.91|+00 37 40.2| 0.03| 0.6|  1077.1|   32.3|  3.03| 67.2| 0.46| 2.9
224.74858| +4.27153|145859+041617 |14 58 59.66|+04 16 17.5| 0.03| 0.6|  1077.6|   40.5| 25.24|-47.4| 0.66| 0.4
295.64221|+23.83247|194234+234956 |19 42 34.13|+23 49 56.9| 0.03| 0.6|  1077.8|   33.5|  0.37|-72.1| 6.42|90.0
241.35717| -9.45089|160525-092703 |16 05 25.72|-09 27 03.2| 0.03| 0.6|  1078.3|   34.1|118.80| 19.0| 4.41| 0.2
275.11058|-16.02303|182026-160122 |18 20 26.54|-16 01 22.9| 0.03| 0.6|  1078.7|   33.5|  5.72|  2.8| 7.34| 6.8
194.82179| -8.10206|125917-080607 |12 59 17.23|-08 06 07.4| 0.03| 0.6|  1078.8|   34.2| 18.08| 28.1| 1.16| 0.8
274.78783|-16.11475|181909-160653 |18 19 09.08|-16 06 53.1| 0.04| 0.7|  1078.9|   33.1| 12.63|  0.7|40.82| 7.3
260.67692|-28.33158|172242-281953 |17 22 42.46|-28 19 53.7| 0.03| 0.6|  1079.0|   32.4|  9.37| 77.3| 0.75| 1.5
032.40842|+61.68636|020938+614110 |02 09 38.02|+61 41 10.9| 0.06| 0.6|  1079.3|   38.0| 52.99| 37.3| 0.60| 0.2
349.45150|+39.87447|231748+395228 |23 17 48.36|+39 52 28.1| 0.04| 0.6|  1079.5|   34.3| 27.92| -8.2| 0.99| 0.5
149.20783|+25.25442|095649+251515 |09 56 49.88|+25 15 15.9| 0.03| 0.6|  1080.1|   32.4|  7.81| 29.9| 0.41| 1.0
306.72996|+15.61839|202655+153706 |20 26 55.19|+15 37 06.2| 0.03| 0.6|  1080.2|   35.0| 10.64|-67.2| 0.77| 1.1
335.95421| -2.07258|222349-020421 |22 23 49.01|-02 04 21.3| 0.03| 0.6|  1080.2|   33.3|119.76|-80.7| 9.90| 0.4
245.29329|+10.77056|162110+104614 |16 21 10.39|+10 46 14.0| 0.03| 0.6|  1080.5|   38.2| 78.75| 18.1| 0.51| 0.1
349.14517|-14.15161|231634-140905 |23 16 34.84|-14 09 05.8| 0.03| 0.6|  1080.8|   32.4| 19.10|-23.8| 0.46| 0.5
299.79562|+40.88861|195910+405319 |19 59 10.95|+40 53 19.0| 0.05| 0.7|  1081.7|   33.3| 70.59|-25.2|57.27| 2.0
265.68267|+59.28356|174243+591700 |17 42 43.84|+59 17 00.8| 0.06| 0.6|  1082.4|   36.2| 27.58|-40.9| 0.58| 0.3
021.18662|-25.28872|012444-251719 |01 24 44.79|-25 17 19.4| 0.03| 0.6|  1082.5|   32.5| 63.03| 45.3| 0.46| 0.1
151.92725|+59.13608|100742+590809 |10 07 42.54|+59 08 09.9| 0.06| 0.6|  1082.8|   32.5| 26.39|  1.6| 0.44| 0.3
142.72612|+58.92128|093054+585516 |09 30 54.27|+58 55 16.6| 0.06| 0.6|  1082.9|   32.5|  2.51| 57.2| 0.42| 3.2
085.26400|+35.85189|054103+355106 |05 41 03.36|+35 51 06.8| 0.04| 0.6|  1083.0|   32.9| -1.93|     |35.84|
348.24167| +5.29039|231258+051725 |23 12 58.00|+05 17 25.4| 0.03| 0.6|  1083.2|   36.6|117.10| 58.2| 0.62| 0.1
105.19467|+54.26278|070046+541546 |07 00 46.72|+54 15 46.0| 0.05| 0.6|  1083.4|   35.8| 21.25| 22.4| 0.66| 0.5
025.60442|-16.47275|014225-162821 |01 42 25.06|-16 28 21.9| 0.03| 0.6|  1084.3|   32.5| 13.86|-69.3| 0.44| 0.6
286.21417|+15.36350|190451+152148 |19 04 51.40|+15 21 48.6| 0.03| 0.6|  1084.4|   35.6| 17.85| 14.0| 0.81| 0.7
121.81321|-33.50464|080715-333016 |08 07 15.17|-33 30 16.7| 0.04| 0.6|  1084.4|   32.5|  1.67|-11.4| 0.47| 5.6
334.54625|-30.40008|221811-302400 |22 18 11.10|-30 24 00.3| 0.03| 0.6|  1084.5|   36.1| 85.17|  8.1| 0.70| 0.1
341.64129|-30.74633|224633-304446 |22 46 33.91|-30 44 46.8| 0.03| 0.6|  1084.8|   32.5| 10.94|-70.6| 0.51| 0.9
068.61937|+72.48667|043428+722912 |04 34 28.65|+72 29 12.0| 0.10| 0.6|  1084.9|   34.7| 13.98| 33.5| 0.98| 0.9
004.04575| -0.25400|001610-001514 |00 16 10.98|-00 15 14.4| 0.03| 0.6|  1085.1|   32.6|  1.03| 69.7| 0.47| 8.7
325.54887| +3.04033|214211+030225 |21 42 11.73|+03 02 25.2| 0.03| 0.6|  1085.7|   37.7| 11.77|-61.2| 0.51| 0.8
220.09246|+38.33797|144022+382016 |14 40 22.19|+38 20 16.7| 0.04| 0.6|  1085.8|   38.3| 33.96|-57.1| 0.48| 0.3
267.20317|-28.39550|174848-282343 |17 48 48.76|-28 23 43.8| 0.04| 0.6|  1086.2|   33.7| 11.74|-48.9| 9.43| 3.7
066.78042|-13.04847|042707-130254 |04 27 07.30|-13 02 54.5| 0.03| 0.6|  1086.5|   32.6| -0.01|     | 0.45|
320.91300| -1.20953|212339-011234 |21 23 39.12|-01 12 34.3| 0.03| 0.6|  1086.6|   32.6|  0.39| 12.6| 0.46|22.9
348.01833|+18.74283|231204+184434 |23 12 04.40|+18 44 34.2| 0.03| 0.6|  1087.1|   40.3| 15.19| 66.9| 0.68| 0.7
263.74325| +9.44939|173458+092657 |17 34 58.38|+09 26 57.8| 0.03| 0.6|  1087.5|   32.6|  1.33| 47.0| 0.65| 9.4
269.68017|-17.96344|175843-175748 |17 58 43.24|-17 57 48.4| 0.03| 0.6|  1088.4|   32.7| -0.49|     | 0.71|
